,powder index,Population,Milex,Human capital,Country,Year
阿尔巴尼亚,0.027893527,0.002913021,0.185893242,0.544 ,Albania,2010
阿尔及利亚,0.529182917,0.035977451,5.671309117,0.531 ,Algeria,2010
阿富汗,,0.029185511,0.298146853,,Afghanistan,2010
阿根廷,0.558115086,0.040788453,3.475348407,0.589 ,Argentina,2010
阿曼,0.148081065,0.003041435,3.671391417,0.548 ,Oman,2010
阿塞拜疆,0.114139409,0.009054332,1.476608734,0.497 ,Azerbaijan,2010
埃及,0.555254674,0.082761244,4.407286453,0.479 ,Egypt,2010
埃塞俄比亚,0.227100127,0.087639962,0.303617033,0.766 ,Ethiopia,2010
爱尔兰,0.271736218,0.004560155,1.274228688,0.726 ,Ireland,2010
爱沙尼亚,,0.001331475,0.332180157,,Estonia,2010
安哥拉,,0.023356247,3.500794836,,Angola,2010
安提瓜和巴布达,,0.00008803,0,,Antigua and Barbuda,2010
奥地利,0.675669897,0.008363404,3.218351224,0.738 ,Austria,2010
澳大利亚,4.214714407,0.02203175,23.21769282,0.755 ,Australia,2010
澳门,,0.000538215,0,0.648 ,Macau,2010
巴布亚新几内亚,0.007310512,0.007310512,0.046335624,,Papua New Guinea,2010
巴基斯坦,0.179424643,0.179424643,5.974613176,,Pakistan,2010
巴拉圭,0.037101493,0.006248017,0.204605255,0.511 ,Paraguay,2010
巴林,0.064097625,0.001240864,0.842819149,0.605 ,Bahrain,2010
巴拿马,0,0.003642691,0,0.513 ,Panama,2010
巴西,3.057587775,0.195713637,34.00294447,0.533 ,Brazil,2010
白俄罗斯,,0.009483836,0.767699286,,Belarus,2010
保加利亚,0.149608899,0.007395599,0.832549293,0.637 ,Bulgaria,2010
贝宁,0,0.009199254,0,0.366 ,Benin,2010
比利时,1.138725685,0.010895586,5.244720513,0.753 ,Belgium,2010
冰岛,0,0.000318041,0,0.755 ,Iceland,2010
波黑,,0.003721525,0,,Bosnia and Herzegovina,2010
波兰,1.730955015,0.038042794,8.790170132,0.701 ,Poland,2010
博茨瓦纳,0.013287382,0.001987106,0.348672725,0.368 ,Botswana,2010
不丹,,0.000685502,0,,Bhutan,2010
布基纳法索,0.030250433,0.015605211,0.123700475,0.320 ,Burkina Faso,2010
布隆迪,0,0.008675606,0,0.343 ,Burundi,2010
丹麦,0.836603047,0.005547683,4.503492127,0.749 ,Denmark,2010
德国,9.609054484,0.08177693,43.02591501,0.761 ,Germany,2010
东帝汶,0,,,0.411 ,East Timor,2010
多哥,0.01432447,0.006421674,0.056832843,0.368 ,Togo,2010
多米尼加,,0.009695117,0.354856781,,Dominica,2010
多米尼克,,0.000070877,0,,Dominican Republic,2010
俄罗斯,5.304665325,0.142849468,58.72022761,0.601 ,Russia,2010
厄瓜多尔,0.201390494,0.015011114,2.094,0.526 ,Ecuador,2010
法国,10.24617037,0.065027505,52.04406057,0.757 ,France,2010
菲律宾,,0.093966784,2.438189569,,Philippines,2010
斐济群岛,,0.000859816,0.050408954,,Fiji,2010
